Experiment,Description,Primary RMSE,Primary MAE,Primary R2,Generalization RMSE,Generalization MAE,Generalization R2,Parameters
E0,"Baseline (No Aug, No Mag, Base Model)",4.2462,3.0989,0.727,8.1937,6.2084,-0.6796,150849
E1,Augmentation Only,5.122405907589176,3.450110673904419,0.6027255654335022,9.209164358991426,7.15309476852417,-1.121678113937378,133697
E2,Augmentation + Magnitudes,5.408635489669037,3.6691665649414062,0.5570873618125916,9.146695617021987,7.047083377838135,-1.092991828918457,134081
E3,Aug + Mag + Residual Block,4.777482686552878,3.307692289352417,0.6544261574745178,8.949991100456034,6.782644271850586,-1.0039379596710205,159041
E4,Baseline + Speed Balanced Sampler,4.44688776460747,3.161337375640869,0.7005978226661682,6.997476667915198,5.267391681671143,-0.22496020793914795,133697
E5,Gravity-Aware Features,3.9546476906981165,2.9169259071350098,0.7632128000259399,7.091925163653059,5.193665981292725,-0.2582511901855469,135425
E7,Gravity-Aware + Speed Balanced Sampler,4.477663127881774,3.2165303230285645,0.6964393854141235,7.383907822187551,5.495884895324707,-0.36399126052856445,135425
